name,Location Name,Description,Latitude (N),Longitude (E),Story
Charles Baudelaire,Le Flore Caf¨¦,Met with other poets,48.8543,2.333,Discussed poetry and art with his peers.
Guillaume Apollinaire,Caf¨¦ de Flore,Met with Picasso and other artists,48.8543,2.333,Center of avant-garde discussions.
Guillaume Apollinaire,Rue Saint-Jacques,His residence,48.8467,2.346,Lived here while writing his most famous poems.
Guillaume Apollinaire,Louvre Museum,Source of inspiration for his poetry,48.8606,2.3376,His poetry often referenced classical art.
Guillaume Apollinaire,Panth¨¦on,Honored after his death,48.8462,2.3448,Memorial plaque in his name.
Guillaume Apollinaire,Montparnasse Cemetery,Final resting place,48.8383,2.3253,Buried here alongside other artists.
Albert Camus,Gallimard Publishing,Publisher of his major works,48.8493,2.3303,Published "The Stranger" and "The Plague".
Albert Camus,Saint-Germain-des-Pr¨¦s,Literary district he frequented,48.8543,2.333,Met Sartre and other intellectuals here.
Albert Camus,Th¨¦atre de l¡¯Od¨¦on,His plays were performed here,48.8507,2.3393,Supported emerging theater movements.
Albert Camus,Panth¨¦on,Honored for his contributions,48.8462,2.3448,Recognized posthumously for his impact on literature.
Albert Camus,Rue de la Huchette,Lived here during early years,48.8526,2.3463,A small apartment where he wrote his early essays.
Paul Verlaine and Arthur Rimbaud,H?tel des ¨¦trangers,Their first meeting place,48.8528,2.3445,"Verlaine and Rimbaud first met here, beginning a stormy affair."
Paul Verlaine and Arthur Rimbaud,Caf¨¦ Procope,Frequented for literary discussions,48.8534,2.3393,They met other poets and discussed Symbolism.
Paul Verlaine and Arthur Rimbaud,Rue Campagne-Premi¨¨re,Verlaine¡¯s residence,48.8398,2.3302,Verlaine lived here during his later years.
Paul Verlaine and Arthur Rimbaud,Prison de Mons,Where Verlaine was imprisoned,50.4515,3.9533,Imprisoned for shooting Rimbaud during a quarrel.
Paul Verlaine and Arthur Rimbaud,Caf¨¦ de la Nouvelle Ath¨¨nes,Met with other avant-garde poets,48.8826,2.3336,Known for gatherings of artists and poets.
Paul Verlaine and Arthur Rimbaud,Panth¨¦on,Memorial plaque honoring them,48.8462,2.3448,Commemorated as influential French poets.
Paul Verlaine and Arthur Rimbaud,Rue des Martyrs,Walked here for inspiration,48.879,2.3425,A famous literary and artistic district they frequented.
Paul Verlaine and Arthur Rimbaud,Montmartre Cemetery,Verlaine¡¯s final resting place,48.8891,2.3286,Buried here among other Parisian artists.
